projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
863,423,Fgura Apartment Block,,Fgura,,Malta,Active,,1,,
864,413,McDonald's Outlet Hamrun,,Hamrun,,Malta,Active,0.5,0.5,,
865,84,Marsa Boiler Structure,,Marsa,,Malta,Active,,1,,
866,394,Warehouse Marsa,,Bormla,,Malta,Active,,1,,
867,200,Villa at Swieqi,,Swieqi,,Malta,Active,,1,,
868,298,SVP Care Facility,,Luqa,,Malta,Active,0.5,0.5,,
869,413,Marsa Office Extension,,Marsa,,Malta,Active,0.5,0.5,,
870,436,Freeport Quay Survey,,,,Malta,Active,,1,,
871,446,Newark School  San Gwann,,San Gwann,,Malta,Active,1,,,
872,376,National Football Stadium Project,,Ta' Qali,,Malta,Active,0.5,0.5,,
873,413,Hal Far Logistics Centre,,Hal Far,,Malta,Active,0.25,0.25,0.25,0.25
874,447,Port Regeneration,,,,Malta,Active,1,,,
875,413,McDonald's Outlet ex Fluid,,Mriehel,,Malta,Active,0.5,0.5,,
876,72,Seawall site at Smartcity,,Smartcity,,Malta,Active,,,,1
877,189,BLBxxx Bulebel Ext,,Bulebel,,Malta,Active,1,,,
878,281,Eldorado Garage,,,,Malta,Active,,1,,
879,413,McDonald's Outlet Gharghur,,Gharghur,,Malta,Active,0.5,0.5,,
880,448,Foundation Design,,,,Malta,Active,,1,,
881,189,BLB027A Steel Canopies,,Bulebel,,Malta,Active,,1,,
882,449,Birkirkara Coffee Shop,,Birkirkara,,Malta,Active,1,,,
883,326,New Fuel Depot,,Paola,,Malta,Active,0.5,0.5,,
999,1000,Minor Miscellaneous Jobs,  ,,,,Active,0.5,0.5,,
1000,1000,iAS General,  ,,,,Active,,,,
1100,1000,iAS Quotations,  ,,,,Active,,,,
1500,1000,General Office,  ,,,,Active,,,,
2000,1000,iAS Holidays / Vacation / Sick,  ,,,,Active,,,,
3000,1000,Dubious RFP's,  ,,,,Active,,,,
4000,334,iAS Ltd,  ,,,,Active,,,,
4100,335,RCS Ltd,  ,,,,Active,,,,
9000,1000,PM Systems,  ,,,,Active,,,,
