projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
215,128,Hamrun Extension,  ,,,,Active,,,,
216,129,Paola Residence Alterations,  ,,,,Active,,,,
217,133,Ibragg Apartment Block,  ,,,,Active,,,,
218,134,Mqabba Apartment Block,  ,,,,Active,,,,
219,134,Zurrieq Apartment Block,  ,,,,Active,,,,
220,141,Fgura Minor Alterations,  ,,,,Active,,,,
221,136,Sta. Venera Residence Extension,  ,,,,Active,,,,
222,295,Zebbug Residential Extension,  ,,,,Active,,,,
223,138,Birzebugia Apartment Block,  ,,,,Active,,,,
224,139,Victoria Citadel Carpark,  ,,,,Active,,,,
225,140,Freeport Quay Walls,  ,,,,Active,,,,
226,142,Ghaxaq Residence Sanction,  ,,,,Active,,,,
227,52,Swieqi Apartments,  ,,,,Active,,,,
228,49,Zejtun Residence Alterations,  ,,,,Active,,,,
229,6,Birzebugia Apartment Block,  ,,,,Active,,,,
230,143,Mqabba House of Character,  ,,,,Active,,,,
231,145,Swatar Maisonette Extension,  ,,,,Active,,,,
232,144,Mqabba Maisonette Extension,  ,,,,Active,,,,
233,6,Zejtun Apartment Block,  ,,,,Active,,,,
234,146,Naxxar Garage Alterations,  ,,,,Active,,,,
235,147,Birzebugia Residence Sanction and Extension,  ,,,,Active,,,,
236,148,Bormla House of Character,  ,,,,Active,,,,
237,121,Siggiewi Lotto Office,  ,,,,Active,,,,
238,155,Marsascala Lido,  ,,,,Active,,,,
239,150,Cospicua Residence Alterations,  ,,,,Active,,,,
240,355,Kirkop Residence,  ,,,,Active,,,,
241,151,Bulebel Pump Room,  ,,,,Active,,,,
242,152,Fgura Residence Extension,  ,,,,Active,,,,
243,1,Attard Manufacturing Plant,  ,,,,Active,,,,
244,31,Landfill Compaction Consultancy,  ,,,,Active,,,,
245,69,Isla Change of Use,  ,,,,Active,,,,
246,153,Tigne T2 Development,  ,,,,Active,,,,
247,14,Gozo Citadel Rock Stabilisation,  ,,,,Active,,,,
248,154,Marsascala Shop Change of Use,  ,,,,Active,,,,
249,149,Marsascala Minor Amendments,  ,,,,Active,,,,
250,156,TalQroqq Penthouse,  ,,,,Active,,,,
251,66,Marsascala Bypass Road Consultancy,  ,,,,Active,,,,
252,170,Mriehel Development Consultancy,  ,,,,Active,,,,
253,161,Rabat Residential Development,  ,,,,Active,,,,
254,154,Marsascala Apartment Block Extension,  ,,,,Active,,,,
255,12,Paola Apartment Block,  ,,,,Active,,,,
256,163,Valletta Offices Rehabilition,  ,,,,Active,,,,
257,121,Cospicua Guest House,  ,,,,Active,,,,
258,8,Zejtun Commercial Development,  ,,,,Active,,,,
259,164,Zejtun Penthouse Extension,  ,,,,Active,,,,
260,165,Swieqi Residential Alterations,  ,,,,Active,,,,
261,166,Gudja Residence,  ,,,,Active,,,,
